,company,job_description,job_link,job_location,job_title,search_position
84,ACV Auctions,"ACV’s mission is to build and enable the most trusted and efficient digital marketplaces for buying and selling used vehicles with transparency and comprehensive data that was previously unimaginable. We are powered by a combination of the world’s best people and the industry’s best technology. At ACV, we are driven by an entrepreneurial spirit and rewarded with a work environment that enables each teammate to impact the company from day one. ACV’s network of brands includes ACV Auctions, ACV Transportation, MAX Digital and ACV Capital within its Marketplace Products as well as True360 and Data Services.

What you will do:
ACV Auctions is looking for a Lead SecOps Engineer, Data Security and Privacy. The Data Security and Privacy SecOps Engineer is someone who is passionate about building and managing Security Infrastructure and Business Practices and enhancement that drive effective data risk management and reduction. In this role you will be responsible for creating a model of Security for the cloud resources that supports the ACV Platform. This includes the AWS and GCP along with nodes that host K8 clusters and other third party partners.

We are building a layered Security approach which means the SecOps Engineer will need to work hand in hand with teams such as Infrastructure, AppSec, Detection and Response, Development Teams and compliance to ensure the flow from Applications to APIs to Cloud Resources are secured. In lieu of layering Security controls the person in this role will be working to enhance and strengthen the Security Controls within our environment as a whole, such as: anti-phishing gateways, EDR, AV, firewalls, IDS/IPS systems, AWS Security Hub. Further this position is not only about growing ACV's capabilities but our associates as well, it will be important to be able to work with various teams such as Dev, HelpDesk, HR, Legal etc guiding Security recommendations for the program.

Responsibilities:

Formalize the Data Security and Privacy Program including: data mapping, data identification, data security standards and data security practices and processes.
Drive the technical practices and implementation of securing data across technical systems and infrastructure.
Develop, implement and manage security standards, plans/roadmaps and operational processes to secure the AWS platform and resources such as RDS, EC2, S3, etc.
Manage Security Alerts and provide Incident Response support services, it's not expected someone knows everything but this person should be able to identify and perform triage to resolve a Security Incident.
Able to deploy and manage infrastructure and applications via code, CICD pipeline and K8.
Contribute to the development, improvement and operational management of Security Operations, Monitoring and Incident Response practices, processes and solutions.
Able to work with vendors and manage PoC's.
Overall understanding of Security Domains, Compliance Requirements, and Risk Management Practices.

What you will need:

Excellent communication, interpersonal and leadership skills, with the ability to interact with staff at all levels.
Knowledge of CASB, DLP and SASE technologies
Proven ability to be agile and work effectively in a dynamic environment.
Demonstrated ability to perform under pressure and respond rapidly to emerging incidents and situations.
Excellent coordination, project management, and organization skills and comfortable with multi-tasking in a high-energy environment.
Should be a creative and analytical problem solver with a passion to provide excellent customer service.
Practical hands-on experience engineering and implementing data security controls in cloud environments including databases, datastores and SaaS platforms.
Linux and Kubernetes/Container management and security
DevOps code based implementation and management
Knowledge of AWS including but not limited to S3, Lambda, RDS, EC2 and AWS Security Center
Understanding of TCP/IP Networking including knowledge of Protocols and Services
Understanding of what Information or Assets are of value to Threat Actors and how Organizations are Breached and Customer Accounts Compromised.
Overall understanding of the Security domain, compliance, business, risk, ops etc ALONG with its application to the business.

What we offer:

Comprehensive benefits offerings for benefits eligible Teammates.
Unique culture that truly values each and every Teammate.
Career development and Future Growth Opportunities.

At ACV, we are committed to an inclusive culture in which every individual is welcomed and empowered to celebrate their true selves. We achieve this by fostering a work environment of acceptance and understanding that is free from discrimination. ACV is committed to being an equal opportunity employer regardless of sex, race, creed, color, religion, marital status, national origin, age, pregnancy, sexual orientation, gender, gender identity, gender expression, genetic information, disability, military status, status as a veteran, or any other protected characteristic We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you have a disability or special need that requires reasonable accommodation, please let us know.",https://www.indeed.com/rc/clk?jk=f0b0246d9d85ba51&fccid=6867c53ddcaa8459&vjs=3,"Caribou, ME 04736 04736+21 locations","Senior Data Security Engineer, SecOps",Data Engineer
85,Orion Inc.,"Identifying installation solutions for new databasesDetermining the requirements for a new databasePublishing and/or presenting design reportsIdentifying areas for improvement in current systemsCoordinating with other team members to reach project milestones and deadlinesAuditing database regularly to maintain qualityCreating systems to keep data secureExperience with NoSQL databases such as CosmosDB, Postgres NoSQL, and Cassandra a big plusWorking knowledge of Python and Kafka a plus.Develop set processes for data mining, data modeling, and data production.Create custom software components and analytics applications.Job Type: ContractSchedule:8 hour shiftDay shiftAbility to commute/relocate:Berkeley Heights, NJ: Reliably commute or planning to relocate before starting work (Preferred)Experience:Data Engineer: 5 years (Preferred)ETL/ELT: 5 years (Preferred)Azure/AWS: 3 years (Preferred)Python: 2 years (Preferred)Work Location: One location",https://www.indeed.com/company/Marvel-Infotech-Inc/jobs/Data-Engineer-54e317f3d16e0d2d?fccid=4d646c7bde0d7dab&vjs=3,"Berkeley Heights, NJ",Data Engineer,Data Engineer
86,Ergoss Logiciels,"Founded in 2009, Ergoss Software develops and provides a SAAS in the field of analysis and monitoring of aircraft flight data. Our customers are mainly airlines.Following the creation of a subsidiary in the USA (Ergoss USA Corp.), we need motivated people to join our dynamic and friendly teams based in Miami.We are looking for a Flight Data Analyst Engineer.Missions :Decode flight data recorders logical frames layoutDevelop encoded logics to detect deviations from standard and airlines proceduresRespond to specific requests of airlines Flight Safety OfficersInsure support of level 1 & 2Produce training documentations & supportsConduct Training sessions for customers (at customers premises) and internal needs.Innovate on flight safety indicators & follow up methodologiesRessources / skills :Engineering degree in aeronauticsDeep knowledge on aircraft operations and performances.Familiar with programming methodes and Ability to use different type of programming languages.Job Types: Full-time, ContractAbility to commute/relocate:Miami, FL 33132: Reliably commute or planning to relocate before starting work (Required)Experience:SQL: 1 year (Preferred)Work Location: One location",https://www.indeed.com/company/Ergoss-Logiciels/jobs/Flight-Data-Analyst-Engineer-24942d027b48228d?fccid=56a9635a3f1f2727&vjs=3,"Miami, FL 33132 33132 (Downtown area)",Flight Data Analyst Engineer,Data Engineer
87,"eClinical Solutions, LLC","At eClinical Solutions, our goal is to leverage technology to accelerate clinical research and bring life-changing therapies to patients faster. Our industry-leading elluminate® clinical data platform is used by top life sciences companies worldwide to regain control of their data and provide meaningful analytical insights.The eClinical Solutions Engineering team has true greenfield opportunities for software engineers who want to develop innovative revenue-generating products that are revolutionizing the Life Sciences industry. You will work on a team that is developing enterprise-level clinical data software. At eClinical Solutions, you will be recognized and rewarded for your ideas and accomplishments, all while contributing to the latest disruptive technology incorporating modern software architectures, data science, and advanced analytics.Accelerate your skills and career within a fast-growing company while impacting the future of healthcare.OVERVIEWThe Data Engineer will work closely with clients and provide technical consulting services,configuration of the elluminate platform, development for specific projects that include trialconfiguration, quality control, process improvements, system validation, custom analytics development,clinical software implementations and integrations. platform configuration, ETL and custom analyticsdevelopment.The Data Engineer will engage in technical development and implementation of various softwareservice delivery related activities.This position reports to a management position of the Professional Services Team.KEY TASKS & RESPONSIBILITIESDesign, develop, test, and deploy highly efficient SQL code and data mapping code according tospecificationsDevelop ETL code in support of analytic software applications and related analysis projectsWork with Analytics developers, other team members and clients to review the businessrequirements and translate them into database objects and visualizationsBuild any analytics reports and visualizations using tools like QlikProvide diagnostic support and fix defects as neededEnsure compliance with eClinical Solutions/industry quality standards, regulations, guidelines,and proceduresOther duties as assignedWe are proud to be an equal opportunity employer that values diversity. Our management team is committed to the principle that employment decisions are based on qualifications, merit, culture fit and business need.Job Type: Full-time","https://www.indeed.com/company/eClinical-Solutions,-LLC/jobs/Data-Engineer-11e08acd508e2972?fccid=387b89c11ffe51f9&vjs=3","Mansfield, MA 02048 02048",Data Engineer,Data Engineer
88,DispatchHealth,"Emergency room visits and hospital stays can be uncomfortable and stressful times for families and their loved ones. DispatchHealth allows people to receive high quality and cost-effective medical care in the comfort of their homes. A rapidly scaling startup, DispatchHealth provides an integrated, convenient, high-touch care-delivery solution that extends the capabilities of the patient's care team and ensures that we provide personalized, quality care in the home or at the patient's location of need.

Technology and data drive all aspects of our business and allow for better care delivery from patient onboarding, patient care, and post care follow-up. We're looking to create a best-in-class technology platform that helps our patients stay in the comfort of their homes – and we're looking for people like you to help shape and build the technology that changes the way people receive healthcare.


Role Summary

DispatchHealth has started its next phase of technology development and growth and a cloud architect is a pivotal role in its success. Enable software development teams deliver changes with ease. Create the infrastructure that enables teams to be independent, secure and focused on solutions rather than bottlenecks in the process.

As a data engineer on the data team, you will develop robust, scalable data pipelines that drive decision making across the organization. Using a combination of pre-built and custom ETL tools, you will develop the robust data infrastructure that helps us support both internal and external customers with timely, accurate and complex data needs. If you love building high-quality data infrastructure that supports the future of healthcare and improves people's lives, we want to work with you!


Responsibilities:

Help to lead major efforts around building a data ecosystem that is robust, fast and scalable, and allows DispatchHealth to realize its goal of measuring all aspects of our business using data
Develop modern data pipelines that support data integrity, monitoring and lineage
Build well-designed, reusable systems to extract, transform and load data into centralized data lakes and reporting warehouses from a variety of sources
Build systems that collect and maintain customers' sensitive data, while holding DispatchHealth to the highest standards for security and HIPAA compliance
Design fault tolerant systems so the team can be brave and move fast, without ever negatively affecting our customers
Participate in ongoing training to maintain current knowledge of ETL, orchestration and data infrastructure and perform duties as required by job function


Qualifications

3+ years of experience using Python and SQL for data engineering
1+ years of data engineering experience in a cloud environment (AWS or GCP)
1+ years of experience working with row-based and columnar databases
Experience using orchestration tools such as Airflow or Prefect
Experience with ETL tools such as Stitch, Fivetran, Airbyte or Segment
A proven track record of working collaboratively on complex, medium-to-large ETL projects that span multiple months
Strong software development skills using an agile framework
Interest in working with product and engineering teams, as well as cross functional partners

Location: Remote, USA

The pay range for this position in Colorado is $110,000 - $140,000/yr; however, base pay offered may vary depending on job-related knowledge, skills, candidate location, and experience.

DispatchHealth is committed to creating and supporting a diverse and inclusive team and serving all communities. All qualified applicants will be considered for employment regardless of race, gender, gender identity or expression, sexual orientation, religion, national origin, disability, age or veteran status.

DispatchHealth offers a comprehensive benefit package, including medical, dental and vision insurance, 401k, paid time off, family and short-term disability leave

To see our Employee Privacy Notice, please see here: https://www.dispatchhealth.com/employee-privacy-notice/",https://www.indeed.com/rc/clk?jk=444a74db4e55d64d&fccid=e878d032323d129e&vjs=3,"Remote in Denver, CO",Data Engineer,Data Engineer
89,Catalyte,"Senior Data Engineer - CatalyteAre you a Data Engineering enthusiast with a wide variety of experience across the data lifecycle and with multiple technology stacks? Do you love to organize data and figure out all of the ways it can be used? Do you enjoy mentoring junior and future engineers?Catalyte is looking for an innovative Senior Data Engineer to join our team and help build out our Data and Analytics platform. If you want to put your skills to use to help find and create future developers, come talk to us!Responsibilities: - Working with stakeholders to ensure that business data needs are met- Building data ingestion pipelines to ensure timely and quality data into our Data Lake- Contributing to the data platform design and architecture decisions- Ensuring that data is stored, queried and displayed securely- Working with and evaluating existing data-centric applications and tools- Working on an Agile team to build high quality and modular data structures- Mentoring junior developers to allow them to grow their data careerQualifications: - At least 5 years working in a Data Developer, Engineer or Architect role with a broad focus on data movement, querying (SQL), analytics, storage and processing- At least 3 years experience with Python- At least 3 years experience with Spark (PySpark)- Experience with Databricks a plus- Excellent skills in both RDBMS (SQL Server, PostgreSQL) and NoSQL technologies- Exposure to data security regulation and enforcement - GDPR, HIPAA, etc- Cloud experience is desired - AWS preferred- Experience building pipelines in a modular, scalable way- Strong analytical skills- Curiosity about data and the ideal way to structure it to extract meaning from it- A “can do” attitude and a passion for innovation- Experience with Tableau Desktop and Server a plusCatalyte provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.Job Type: Full-timePay: $130,000.00 - $150,000.00 per yearBenefits:401(k)Dental insuranceFlexible scheduleHealth insurancePaid time offVision insuranceSchedule:8 hour shiftSupplemental Pay:Bonus payExperience:Data Engineering: 5 years (Required)SQL: 5 years (Required)Python: 3 years (Required)Work Location: Remote",https://www.indeed.com/company/Catalyte/jobs/Senior-Data-Engineer-a760a36fd91a30b5?fccid=6d26f2d6e7999c76&vjs=3,Remote,Senior Data Engineer - Catalyte,Data Engineer
90,Edmunds.com,"At Edmunds we’re driven to make car buying easier. Ever since we began publishing printed car guides in the 60’s, the company has been in the business of trust, innovating ways to empower and support car shoppers. When Edmunds launched the car industry’s first Internet site in 1994, we established a leadership position online and have never looked back. Now, as one of the most trusted review sites on the Internet, millions of visitors use our research, shopping and buying tools every month to make an easy and informed decision on their next car. For consumers, we bring peace of mind. For dealers, we make tools to help them solve their problems and sell more cars. How do we do it, you ask? The key ingredients are our enthusiastic employees, progressive company culture and cutting-edge technology. Want to join the team? Read on to find out how!
What You’re Applying For:
You will be using Java and Javascript to build fast, resilient, highly available and scalable microservices, Rest APIs & GraphQL to provide Data as a Service (DaaS). Adopt the best database solution (SQL or NoSQL) fitting the use case. Cloud-native software deployment applying AWS managed solutions and DevOps skills. These services are used to build customer experiences for millions of people do research and to find the best car deals. Come join a dynamic team who are thinking about building the most scalable web solutions every day.
What You’ll Do:

Develop and support Rest APIs with high availability and performance SLAs complying to microservice principles.
Develop and support GraphQL data services as we scale GraphQL adoption.
Be the subject matter expert on various domain applications.
Build and support serverless platform that resizes millions of images in a few hours.
Engineer and deploy multiple systems and processes across a spectrum of services following Continuous Delivery and Cloud-First Strategy.
Develop modern data curation solutions to allowing Data Content Editors to quickly onboard new data sources and enhance existing data integrations.
Challenges:

Wide spectrum of applications and domain knowledge required to be effective in job function. Quick learner.
Ability to handle multiple customer requests, which requires good due diligence and prioritization skills.
Problem solving skills for quick troubleshooting and optimal solution design.
What You Need:

Proficiency in Java programming is desired with experience using Spring framework along with an understanding of when to apply different Object-Oriented Programming principles.
Understanding of microservice APIs and exposure to NoSQL databases.
Understanding of GraphQL development ecosystem.
Experience with AWS especially AWS Gateway, S3, and Lambdas is a plus.
Proficiency in Javascript is a plus.
A passion to never stop learning - our stack is constantly evolving
Edmunds Tech Blog
At Edmunds we’re not just about making car buying easier, we're also passionate about technology! Click here to read through our Tech Blog!
Edmunds Perks:

Flexible time off

13 Paid Holidays

Comprehensive Health Benefits (medical, dental, vision, life and disability)

Flexible Spending Accounts (Employees) and Health Savings Accounts (Employee and Employer Contributions)

401K Plan with Company Matching at 50%, up to 6% of employee eligible contribution and vesting after 1 year

Up to 4 months Paid Parental Leave

HeartCash matches employee donations to the causes that are important to them

2 Days of Paid Time Off for time to dedicate to social impact causes

FitCash covers a portion of gym or fitness activity fees

Well being sessions and events such as yoga, meditation and walking challenges

On-going career development sessions and an annual learning event

Pet insurance

Sabbatical leave

Education Reimbursement

Plus a coffee bar, frozen yogurt and more!
Working @ Edmunds.com:
Employees think it’s a pretty great place to work and some pretty impressive publications think it is too: we have been recognized as one of the best places to work by the Fortune Magazine and Great Places to Work, LA Business Journal (for the last 6 years!), Computerworld, Built in LA and Inc. Magazine. We've also been identified as one of the best workplaces specifically in Technology and also for Diversity and Asian Americans. If you’re interested in learning more and joining our mission, we’d love to hear from you!
Edmunds will consider for employment qualified candidates with criminal histories in a manner consistent with the requirements of all applicable laws.
#LI-POST
#LI-REMOTE
This is a remote position.",https://www.indeed.com/rc/clk?jk=c4c0a5809869fa50&fccid=f69fe5673875c177&vjs=3,"Remote in Santa Monica, CA 90404 90404+1 location",Software Engineer (Data as a Service),Data Engineer
91,Kloutix Solutions LLC,"5-10 years of hands-on experience in building data integrations in analytical environmentsVery strong experience in building data pipelines using SQL and PythonExcellent SQL skills and exposure to cloud technologies like AWSExpertise in pythonHas in-depth knowledge of DW architectural principlesExcellent communication and client interfacing skillsJob Types: Full-time, ContractJob Types: Full-time, ContractSalary: $65.00 - $80.00 per hourExperience:SQL: 5 years (Preferred)Python: 5 years (Preferred)Data warehouse: 5 years (Preferred)ETL: 5 years (Preferred)Work Location: Remote",https://www.indeed.com/company/Kloutix-Solutions-LLC/jobs/Data-Engineer-4853b66a0568d512?fccid=52ce8d5099728b71&vjs=3,+1 locationRemote,Data Engineer,Data Engineer
92,Shield Healthcare,"Shield HealthCare is looking for an IT Data Integration Engineer for our Valencia, CA corporate office. The primary function of this position is the design, implementation, integration, monitoring and error handling of all company enterprise applications/systems (on-premises and cloud).JOB RESPONSIBILITIES: Responsible for engineering and maintaining the data integration interfaces for data life cycle managementManages IT data technology methods and Integrations for all company systems (on-premises and cloud)Work closely with members of the IT team to ensure that all data workflows are consistently compliant with all the services (cloud, third party, database, analytics) and integrate with other company servicesResponsible for maintaining company data workflows for best data management practices and governanceProduce and maintain complex data workflows to meet all the quality requirements of enterprise applicationsDesign and document dataflow architectureBuilds database schema, tables, procedures and permissions as necessary with DBA teamCreates, tests and executes data management for testing systems and applicationsDevelops reporting from various data systemsAnalyzes and sustains data integration capacity and performance requirementsMonitors systems and platforms for availabilityAccountable for uptime and fluidity on integrationsEvaluates and recommends new integration/database technologiesEnsures and maintains end-to-end security and encryption throughout the transport of dataPrepares written materials for the purpose of documenting activities, written reference and/or conveying informationSolve issues and participate in defect and incident root cause analysisParticipate in an Agile development environment by attending standups and sprint planning activitiesFamiliar with integrations to/from MS Azure environment; ability to diagnose, alert and monitor dataIn conjunction with the DBAs, provide data management, storage and retrievalIn tandem with the DBA team all data integration troubleshooting to isolate and diagnose issuesRecommends and oversees upgrades to integration systems and their effect to production environmentsUnderstands and supports key applications for bi-directional data integrations to systems such as MS SQL backend systems, RightFax, Alchemy (ECM), Salesforce.com (CRM), Epicor (ERP), Clippership manifest system and others as assignedParticipation in weekly on-call after hours support rotationQUALIFICATIONS: 5 years of systems and data pathway management experience in an enterprise environment5 years of experience creating, interacting and maintaining secure APIs (REST, SOAP) with a working knowledge of SFTP and SSH in an enterprise environmentExpert knowledge of data integration tools/applications (e.g., Jitterbit, EDI translaters, SSIS, SSRS, Mulesoft, DMT, etc)Strong experience with integrations (HL7, FHIR, EDI) to enterprise environments including EMR/EHR systemsExposure to integrating cloud-based enterprise applications via real-time, batch, sync/async, ETLProficient in at least one programming languageExcellent problem-solving & troubleshooting skillsStrong communication skills (written and verbal)Bachelor’s degree preferredSALARY & BENEFITS: Salary of $120-130K annuallyMedical, Dental, and Vision401(k) with Company MatchSick and Vacation DaysFlexible Spending AccountLife & Disability InsuranceEducation AssistanceCOMPANY OVERVIEW: Since 1957, Shield Healthcare has provided high-quality healthcare services while focusing on customer satisfaction and employee achievement. We are dedicated to fulfilling the medical supply needs of consumers and the caregiving community while maintaining a 99% overall customer satisfaction rating.Job Type: Full-timePay: $120,000.00 - $130,000.00 per yearBenefits:401(k)401(k) matchingDental insuranceEmployee assistance programEmployee discountFlexible spending accountHealth insuranceLife insurancePaid time offReferral programTuition reimbursementVision insuranceSchedule:8 hour shiftMonday to FridayWork Location: One location",https://www.indeed.com/company/Shield-Healthcare/jobs/Data-Integration-Engineer-2590a639d3ebb5f9?fccid=7f9ad87b930b5891&vjs=3,"Valencia, CA 91355 91355",Data Integration Engineer,Data Engineer
93,Tekrek Solutions,"Title: Data EngineerDuration: 12+ months contract extendableLocation: Sunnyvale or San Jose, CA (Onsite role)Minimum qualificationsBachelor's degree in Data or Engineering, or related technical disciplines or equivalent practical experience.Experience with BI Analytics and Data ETL (Extraction, Transformation, and Loading) with large amounts of dataProficiency with Standard SQL and Dashboarding with DataStudioExperience with standard data metrics such as shape, distribution, standard deviation, and the corresponding visualizations such as histograms, trends, bars and chartsUnderstanding of standard data quality metricsPreferred qualificationsProficiency with PLX, F1, DremelFamiliarity with GCP BigQueryFamiliarity with with Jupyter Notebooks & PythonOther SkillsAnalytical and quantitative skills with the ability to use data (including SQL) and metrics to back up assumptions, evaluate outcomesSelf-starter with a firm sense of accountability and ownership on various deliverablesAbility to dive into a complex data set , find the hidden truth, and turn it into a plan of action.Job Types: Full-time, ContractSchedule:8 hour shiftExperience:Data Modelling: 6 years (Required)SQL: 6 years (Required)Python: 6 years (Required)Work Location: One locationSpeak with the employer+91 (925) 412-3732",https://www.indeed.com/company/Tekrek-Solutions-Inc/jobs/Data-Engineer-2133924944335ed8?fccid=feec4fef4f413549&vjs=3,"Sunnyvale, CA+1 location","Data Engineer - Sunnyvale, CA OR San Jose, CA - Onsite",Data Engineer
94,Starr Way,"Multiple roles available such as Airflow Developer, Cloud Architect, Data ArchitectA day in the life: You'll be able to speak to and deliver solutions around Apache Airflow. You'll interact with customers to drive successful Airflow implementation. You'll be a trusted advisor and help architect data pipelines across all types of environments and use cases. Last but not least, you'll have the opportunity to engage with the Apache Airflow project, a thriving open source community with 1000s of contributors. Work with customers and partners to ensure they are following best practices in Airflow data pipeline creation· Develop Airflow Pipelines with Python.· Perform Airflow code refactoring assessments for our customers.· Be the airflow technical resource for customers by educating them on Airflow best practices.· Collaborate with the customer to design, prototype, and implement proof-of-concept engineering solutions.· Be an advocate for all customers by providing them with Data Engineering as a Service (DEaaS).· Act as a liaison by collecting feedback and identifying improvements through client interactions.· Become an Airflow expert.Airflow Developer - Data Engineer A strong candidate has: · 2-4 Years Python Develop for Airflow DAGS· 2-4 years of industry experience including some experience working in Apache Airflow in a production level environment.· GCP experience is strongly preferred.· Excited to learn infrastructure tools like Docker and Kubernetes.· Empathetic and leans towards giving those around them the benefit of the doubt.· A strong verbal and written communicator.· Eager to help customers solve problems and succeed in making Airflow the de-facto standard in data orchestration.· Experienced with creating DAGs, writing Python, building custom operators and hooks.· Excited about implementing ETL/ELT processes.Job Type: Full-timePay: $83,183.00 - $300,000.00 per yearBenefits:Dental insuranceFlexible scheduleHealth insuranceLife insurancePaid time offVision insuranceSchedule:Monday to FridaySupplemental Pay:Bonus paySigning bonusWork Location: Remote",https://www.indeed.com/company/Starr-Way/jobs/Data-Engineer-Interview-Week-f23961775c47443d?fccid=488cf3f013cc9f3a&vjs=3,Remote,Data Engineer**up to 300k**interviews this week,Data Engineer
95,Orion Inc.,"Identifying installation solutions for new databasesDetermining the requirements for a new databasePublishing and/or presenting design reportsIdentifying areas for improvement in current systemsCoordinating with other team members to reach project milestones and deadlinesAuditing database regularly to maintain qualityCreating systems to keep data secureExperience with NoSQL databases such as CosmosDB, Postgres NoSQL, and Cassandra a big plusWorking knowledge of Python and Kafka a plus.Develop set processes for data mining, data modeling, and data production.Create custom software components and analytics applications.Job Type: ContractSchedule:8 hour shiftDay shiftAbility to commute/relocate:Berkeley Heights, NJ: Reliably commute or planning to relocate before starting work (Preferred)Experience:Data Engineer: 5 years (Preferred)ETL/ELT: 5 years (Preferred)Azure/AWS: 3 years (Preferred)Python: 2 years (Preferred)Work Location: One location",https://www.indeed.com/company/Marvel-Infotech-Inc/jobs/Data-Engineer-54e317f3d16e0d2d?fccid=4d646c7bde0d7dab&vjs=3,"Berkeley Heights, NJ",Data Engineer,Data Engineer
96,Stellar Health,"About Stellar Health:

Historically, US Healthcare has relied on a fee-for-service reimbursement system where providers are paid based on the quantity of patient visits and procedures instead of the quality of health outcomes. Stellar Health helps primary care providers continually engage with their patients by providing them real-time information and tangible action-based incentives for improving quality of care for their patients.

At Stellar Health, we're simplifying value-based care. The Stellar platform, a cloud-based, point-of-care tool, fits into existing provider workflows and creates a simple checklist of recommended actions that helps deliver the best quality care for patients. We're building our technology from the ground up, and the industry is starting to take notice.

Our product actively supports over 500K patient lives - and we have shown that we make a real difference for these practices and their patients. It's an exciting time to join the Stellar Team: We recently raised a $60M Series B at a $460M valuation from Top VCs in the health-tech space (General Atlantic, Point72, & Primary Venture Partners), have an established product & proven operating model, and we're scaling our team to meet the continued growth and impact on our healthcare system.

About the position:

Software Engineers working on our Data Platform at Stellar Health are responsible for building creative solutions that enable the exchange of healthcare information across various internal and external systems. In addition to supporting our client growth in the short term, you'll also have the opportunity to help build the next version of our data platform so that we can scale over the long term.

Healthcare providers work with many different systems and a software engineer at Stellar will need to be comfortable working within these varying environments. You'll have the chance to work with cross-functional teams to achieve the goal of translating institutional information into meaningful insights in order to improve patient care.

What you will do:

Develop solutions for processing data formatted in various industry standards (ANSI X12, HL7, FHIR, CDA, JSON, TXT, XML)
Develop, test and implement interfaces based on standards and customer requirements
Build and maintain networking and integration infrastructure
Monitor live customer interfaces and data pipelines, resolve errors or issues and ensuring data reliability and security
Take ownership of internal and customer-facing deliverables requiring technical input or development
Work cross functionally with different Stellar teams, as well as external customers and partners

Skills & Experience:

2+ years experience writing production code (required).
Bachelor's Degree in Computer Science, related technical field or equivalent
A self-motivated quick learner who works well with other members of the team
Well organized and detail-oriented
Capable of juggling multiple concurrent tasks successfully
Knowledge of programming languages and familiarity with data processing & storage. Python, Postgres & SQL experience is preferred
Experience with ETL tools & libraries, as well as familiarity with health data and standards (e.g., FHIR, HL7), are pluses

Pay, Perks & Such:

We offer a full slate of benefits, including competitive salaries, stock options, medical, dental, vision, life and disability coverages, a 401k program and flexible vacation.

Note on COVID response:

Stellar's Union Square NYC HQ is currently open for those that wish to use it and we are supporting both hybrid and fully-remote work across the US! If you would like to learn more about our COVID response measures and hybrid work policies, please mention this when you speak with a Stellar Recruiter.

Diversity is the key to our success. Stellar Health is an equal opportunity employer and we are open to all qualified applicants regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or expression, veteran status, or any other legally protected status.

We believe that diverse teams -and the different identities, cultures, and life experiences our team members bring to the table- enable us to create amazing products, find creative solutions to interesting problems, and build an inclusive working environment.

We encourage everyone to apply to our roles, even if they do not meet every single qualification on a job description, and our team is committed to reviewing every resume submitted.",https://www.indeed.com/rc/clk?jk=9405537a48c0abd5&fccid=9a68164dfb69290f&vjs=3,"Remote in Austin, TX+3 locations",Software Engineer ll - Data Platform,Data Engineer
97,Infinitek,"The Job: Our Global Engineering and Technology team is seeking a new Data Engineer! This person will analyze complex and unstructured data using state-of-the-art data science and engineering methods to help with data-driven decision-making.What You'll Do: This role uses knowledge of data science methods and applies analytics to solve real-world problems. The Data Engineer will work with customers and/or internal stakeholders to collect and understand data, perform wrangling, develop, and integrate applications and collaborate.Other Tasks: Utilize your knowledge of modern data-driven methods and domain understanding to support the creation of new products, services, and insights using predictive modelsYou have a demonstratable ability to write independent source code, validate and test for model quality improvementAre comfortable in machine learning, artificial intelligence, classification, regression, NLP, etc.Use your experience and are hands-on in Python, Database Systems (such as SQL), and Azure cloud tools to contribute towards solving data analytics problemsYou are ‘Database-Centric’ and perform data wrangling and processing from multiple databases (structured or unstructured data) with a keen eye for data quality all alongYou think in a ‘Pipeline-Centric’ manner and are comfortable with using DevOps Repo and can build, manage and optimize data pipelines and deploy these pipelines into productionYou have exposure to developing and using tools like Python libraries and visualizationBe able to think independently and work as part of a cross-functional team to achieve common goalsComfortable working independently on data modeling/engineering tasks and are eager to learnStay current in the field of advanced analytics and take initiative to apply new technologiesQualificationsWhat You'll Need: Minimum 3-4 years of experience in data analytics as a data engineer, data analyst, data scientist, or applied scientist roleBS or BA in Data Engineering, Data Science Computer Science, Engineering, or another relevant field. MS PreferredExperience in using Machine Learning, Ai, and other data science technologiesStrong and demonstrable experience with programming languages such as Python (used NumPy, pandas, etc.)Strong and demonstratable knowledge of GitHubStrong knowledge of data architectures and systems – SQL and others for ETL purposesStrong knowledge of DevOps, in particular, using the Repo and pushing and pulling source code with versioningAbility to work with MS Azure cloud toolsIntermediate C# and Power Shell scripting skillsGood skills in using Web APIs and XMLExperienced in using tools such as MS Power BI, Tableau or other visualization tools is a big plusKnowledge of object-oriented programming and building RestFul APIs for data science modeling is a plusDisplay an entrepreneurial mindset and think practical, ‘out of box’ solutionsAbility to work efficiently and deliver timely in a fast-paced environmentJob Type: Full-timeSalary: $100,000.00 - $135,000.00 per yearSchedule:Monday to FridayExperience:SQL: 1 year (Preferred)Python: 3 years (Preferred)Work Location: Multiple Locations",https://www.indeed.com/company/Infinitek/jobs/Data-Engineer-6274a275d76bd7be?fccid=cf2d4f7a404630c0&vjs=3,"Houston, TX",Data Engineer,Data Engineer
